Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
INFY,Infosys Limited,23.68,-0.05,-0.21%,5.455M,5.388M,99.99B,36.43,
DTEGF,Deutsche Telekom AG,21.03,0,0.00%,194,"4,853",99.755B,16.03,
SBGSF,Schneider Electric S.E.,177.9,-1,-0.34%,238,"1,296",99.238B,29.14,
SBGSY,Schneider Electric S.E.,35.19,-1,-1.41%,"198,816","124,466",98.139B,28.82,
DTEGY,Deutsche Telekom AG,20.51,0,-1.26%,"208,267","144,147",97.288B,15.63,
ZTS,Zoetis Inc.,204.73,0,0.01%,1.112M,1.503M,97.031B,51.32,
LMT,Lockheed Martin Corporation,349.52,5.32,1.55%,1.693M,1.142M,96.788B,13.7,
GSK,GlaxoSmithKline plc,38.39,-0.95,-2.41%,4.363M,3.563M,96.584B,16.12,
MQBKY,Macquarie Group Limited,129.67,0.25,0.0019,"6,545","6,984",96.155B,21.55,
SBRCY,Sberbank of Russia,17.82,0,-0.69%,"85,903","120,604",95.976B,6.55,
ADI,"Analog Devices, Inc.",178.53,1.3,0.73%,2.344M,4.467M,95.944B,39.07,
GLAXF,GlaxoSmithKline plc,18.51,-0.9,-4.64%,"1,540","7,958",95.818B,15.54,
ADYEY,Adyen N.V.,31.35,-1,-3.03%,"432,941","449,315",95.494B,222.34,
ADYYF,Adyen N.V.,"3,101.00",-51,-1.62%,43,282,95.494B,219.93,
SNOW,Snowflake Inc.,316.47,-5,-1.56%,1.6M,4.204M,95.226B,N/A,
PLD,"Prologis, Inc.",127.9,-1,-0.73%,2.093M,2.269M,94.55B,61.55,
ALIZF,Allianz SE,228.66,4,1.97%,53,753,94.219B,9.37,
PPRUF,Kering SA,755.95,-1.4,-0.18%,111,217,94.116B,23.96,
MS-PI,Morgan Stanley,28.92,0,-0.28%,"35,928","51,249",77.125B,3.83,
ALIZY,Allianz SE,22.76,0,1.52%,"317,351","152,819",93.782B,9.32,
GS-PK,"The Goldman Sachs Group, Inc.",28.43,-0.13,-0.46%,"29,775","43,167",73.545B,0.52,
DMLRY,Daimler AG,$21.74,0,0.016,"74,905","74,474",93.288B,5.9,
DDAIF,Daimler AG,87.06,1,1.56%,"9,785","22,542",93.288B,5.91,
ANTM,"Anthem, Inc.",381.33,1,0.27%,"655,288",1.058M,92.974B,22.57,
GS-PJ,"The Goldman Sachs Group, Inc.",27.01,-0.01,-0.04%,"52,426","63,294",73.899B,0.5,
MELI,"MercadoLibre, Inc.","1,869.62",-17,-0.89%,"236,555","311,700",92.942B,N/A,
GS-PA,"The Goldman Sachs Group, Inc.",24.94,-0.03,-0.12%,"38,889","47,774",91.916B,0.46,
PPRUY,Kering SA,74.39,-2.42,-3.16%,"94,417","77,028",92.635B,23.58,
MS-PF,Morgan Stanley,28.43,0,0.04%,"32,111","50,657",73.519B,3.77,
MS-PE,Morgan Stanley,29.03,-0.01,-0.03%,"115,182","47,691",73.642B,3.85,
BX,Blackstone Inc.,125.1,-2,-1.57%,3.116M,3.492M,89.488B,19.48,
MO,"Altria Group, Inc.",48.46,0,-0.72%,4.397M,6.232M,89.364B,19.82,
GILD,"Gilead Sciences, Inc.",71.19,-1,-0.70%,4.951M,6.144M,89.259B,17.43,
MS-PA,Morgan Stanley,25.26,-0.17,-0.67%,"37,920","49,946",88.946B,3.35,
GS-PD,"The Goldman Sachs Group, Inc.",25.05,0,-0.16%,"85,640","72,257",88.893B,0.46,
USB,U.S. Bancorp,59.79,0.5,0.0084,4.771M,5.279M,88.646B,12.81,
ESLOF,EssilorLuxottica Société anonyme,201.11,-5,-2.39%,"3,508","1,520",88.562B,56.22,
BYDDY,BYD Company Limited,61.7,0,-0.68%,"121,329","192,749",88.266B,150.49,
BPAQF,BP p.l.c.,4.325,0,0.00%,82,"5,190",88.155B,10.11,
BP,BP p.l.c.,26.24,0,0.0031,8.347M,10.788M,88.155B,10.22,
BYDDF,BYD Company Limited,30.72,0,-1.08%,"68,272","158,552",87.894B,149.85,
UBER,"Uber Technologies, Inc.",46.63,1,0.0253,29.458M,24.545M,87.867B,N/A,
BAM,Brookfield Asset Management Inc.,55.99,-0.2,-0.36%,1.24M,2.749M,87.8B,31.69,
ESLOY,EssilorLuxottica Société anonyme,99.46,-2.58,-2.53%,"23,651","31,744",87.606B,55.61,
COP,ConocoPhillips,65.02,1.31,2.06%,11.128M,8.244M,87.067B,42.36,
LRCX,Lam Research Corporation,612.48,-0.08,-0.01%,"724,847",1.255M,86.944B,22.77,
USB-PP,U.S. Bancorp,27.42,0,-0.65%,"20,386","26,975",86.025B,5.87,
ESOCF,Enel SpA,8.42,0,-1.17%,"13,293","23,226",85.588B,29.87,
ADP,"Automatic Data Processing, Inc.",202.22,1,0.41%,"884,144",1.467M,85.555B,33.31,
TJX,"The TJX Companies, Inc.",$71.10,0,0.57%,4.802M,5.765M,85.501B,34.78,
BTAFF,British American Tobacco p.l.c.,36.93,0.32,0.88%,"2,505","5,341",84.741B,9.98,
MDLZ,"Mondelez International, Inc.",60.36,-0.37,-0.61%,6.647M,6.063M,84.372B,19.97,
DPSGY,Deutsche Post AG,$67.22,-1,-1.15%,"65,740","39,985",84.164B,15.69,
DPSTF,Deutsche Post AG,65.14,-4,-5.95%,423,941,84.163B,15.21,
BTI,British American Tobacco p.l.c.,36.51,0,-0.98%,2.773M,2.499M,83.778B,9.86,
ENLAY,Enel SpA,8.17,0,-0.97%,1.111M,"512,861",83.721B,28.97,
MU,"Micron Technology, Inc.",74.05,0,0.01%,14.804M,19.836M,83.362B,20.43,
PNC,"The PNC Financial Services Group, Inc.",194.5,1,0.0046,1.195M,1.573M,82.661B,14.77,
CTA-PA,E. I. du Pont de Nemours and Company,95,0,0.00%,50,242,82.442B,N/A,
BNPQF,BNP Paribas SA,64.99,4.28,7.05%,"1,970","6,207",81.16B,8.96,
PLL,Piedmont Lithium Inc.,52.24,-2,-3.08%,"169,963","363,780",822.754M,N/A,
HCA,"HCA Healthcare, Inc.",$256.33,1,0.31%,1.175M,1.352M,82.062B,17.6,
CNI,Canadian National Railway Company,$115.74,-1,-0.51%,1.35M,2.306M,82.056B,25.99,
ENB,Enbridge Inc.,40.03,-0.05,-0.12%,1.745M,3.345M,81.091B,16.92,
ZM,"Zoom Video Communications, Inc.",272.36,-4,-1.39%,4.052M,4.134M,80.926B,82.21,
BNTX,BioNTech SE,333.48,-19.51,-5.53%,2.603M,4.189M,80.875B,18.39,
MMC,"Marsh & McLennan Companies, Inc.",159.46,0.93,0.0059,1.487M,1.877M,80.787B,32.84,
EBBNF,Enbridge Inc.,20.45,0,0.00%,67,"1,568",80.371B,8.64,
AIQUF,L'Air Liquide S.A.,170.14,0,0.00%,125,447,80.349B,26.5,
AIQUY,L'Air Liquide S.A.,33.8,0,-0.68%,"59,264","88,790",79.947B,26.32,
BNPQY,BNP Paribas SA,31.56,0.1,0.0033,"128,235","255,204",80.339B,8.7,
SNPMF,China Petroleum & Chemical Corporation,0.4768,0,0.00%,65,"10,992",79.646B,3.94,
