Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
NTCT,"NetScout Systems, Inc.",26.98,-0.23,-0.85%,1.055M,"352,396",1.999B,78.66,
MAPS,"WM Technology, Inc.",15.42,0,0.0065,"801,842","659,342",1.993B,71.06,
EPAY,"Bottomline Technologies, Inc.",43.56,0,0.55%,"351,013","401,484",1.988B,N/A,
BASE,"Couchbase, Inc.",47.72,0,-0.58%,"422,361","585,115",1.976B,N/A,
LTCH,"Latch, Inc.",13.86,0,1.76%,"741,614",1.083M,1.958B,N/A,
MFGP,Micro Focus International plc,5.79,0,-2.36%,"232,779","581,026",1.951B,N/A,
ESKEF,Esker SA,339.09,0,0.00%,100,1,1.95B,142.77,
AVPT,"AvePoint, Inc.",10.68,0.74,7.44%,2.317M,"987,843",1.925B,N/A,
ISMAY,"Indra Sistemas, S.A.",5.39,0.33,0.0652,"1,828",732,1.922B,25.42,
PRO,"PROS Holdings, Inc.",42.54,0,-0.51%,"69,061","206,143",1.888B,N/A,
ASOZY,Asseco Poland S.A.,21.47,0,0.00%,202,3,2.264B,N/A,
GDYN,"Grid Dynamics Holdings, Inc.",30,0.93,0.032,"674,416","534,356",1.863B,N/A,
PAR,PAR Technology Corporation,71.17,-1,-1.08%,"77,204","216,301",1.84B,N/A,
QADA,QAD Inc.,87.12,0,0.0001,"58,620","143,998",1.829B,271.4,
CGNT,Cognyte Software Ltd.,27.61,0,-0.14%,"271,815","616,225",1.822B,147.65,
OCFT,"OneConnect Financial Technology Co., Ltd.",4.61,0,-2.95%,"909,946",1.656M,1.798B,N/A,
BTRS,BTRS Holdings Inc.,11.28,-0.2,-1.74%,"465,058",1.06M,1.785B,N/A,
AVYA,Avaya Holdings Corp.,20.5,0,-1.68%,"447,862",1.073M,1.726B,115.82,
YEXT,"Yext, Inc.",13.03,-1,-6.33%,4.654M,"976,856",1.665B,N/A,
RDWR,Radware Ltd.,36.42,0.83,0.0233,"277,659","251,570",1.658B,117.48,
KLTR,"Kaltura, Inc.",$13.11,1,0.0844,"384,498","552,963",1.658B,N/A,
UIS,Unisys Corporation,24.5,0,-0.61%,"132,480","376,840",1.644B,N/A,
BPRMF,Blue Prism Group plc,16.85,0,1.97%,"11,073","17,410",1.635B,N/A,
EB,"Eventbrite, Inc.",17.29,0.13,0.0076,"491,087",1.032M,1.631B,N/A,
CSVI,"Computer Services, Inc.",58.3,0,0.52%,991,"10,501",1.603B,28.89,
CSGS,"CSG Systems International, Inc.",48.42,-0.41,-0.84%,"110,480","156,778",1.585B,23.75,
CNDT,Conduent Incorporated,7.45,0.1,1.36%,"943,301",1.222M,1.584B,N/A,
SCWX,SecureWorks Corp.,18.43,0,-1.34%,"168,024","154,023",1.573B,N/A,
SPNS,Sapiens International Corporation N.V.,28.49,0.06,0.21%,"47,629","118,251",1.561B,41.29,
CYXT,"Cyxtera Technologies, Inc.",9.21,0,0.0099,"208,258","455,881",1.529B,N/A,
PLUS,ePlus inc.,109.44,-1,-0.59%,"29,113","64,628",1.478B,18.27,
FORTY,Formula Systems (1985) Ltd.,95.64,0,0.0036,"5,229","6,532",1.468B,29.65,
PUBM,"PubMatic, Inc.",28.75,-0.31,-1.07%,"563,311",1.317M,1.448B,52.56,
GSKY,"GreenSky, Inc.",7.85,0,-1.26%,"414,645","591,190",1.446B,19.58,
YALA,Yalla Group Limited,10.02,0.13,0.0131,"688,342",1.136M,1.442B,93.64,
CIOXY,Cielo S.A.,0.531,0,-0.75%,"73,359","72,895",1.434B,9,
PHPYF,Pushpay Holdings Limited,1.23,0,0.00%,"2,914","4,596",1.414B,43.93,
MTLS,Materialise NV,24.22,0,1.04%,"273,862","471,079",1.409B,N/A,
ZETA,Zeta Global Holdings Corp.,7.38,0,0.0336,"408,398","712,381",1.403B,N/A,
AGYS,"Agilysys, Inc.",55.83,-2,-3.94%,"58,743","90,423",1.372B,N/A,
PAYA,Paya Holdings Inc.,10.39,0,0.039,1.704M,1.266M,1.323B,N/A,
MODN,"Model N, Inc.",35.41,0.1,0.28%,"164,480","180,093",1.267B,N/A,
APXYY,Appen Limited,5,0.0133,0.27%,200,10,1.231B,42.19,
WETG,WeTrade Group Inc.,3.99,0,0.00%,100,233,1.219B,266,
EVOP,"EVO Payments, Inc.",25.22,0.03,0.0012,"134,196","184,051",1.194B,N/A,
UPLD,"Upland Software, Inc.",38.89,0,-0.08%,"75,638","190,204",1.183B,N/A,
BAINF,"BASE, Inc.",9.95,0,0.00%,2,693,1.169B,N/A,
GB,Global Blue Group Holding AG,6.36,0,0.63%,"36,703","19,135",1.148B,N/A,
OPRA,Opera Limited,$9.95,0,-1.68%,"81,953","183,432",1.146B,5.07,
ATEN,"A10 Networks, Inc.",13.82,-0.12,-0.86%,"585,724","648,729",1.061B,46.07,
ONTF,"ON24, Inc.",22.67,0.37,0.0166,"623,411","767,734",1.058B,N/A,
MITK,"Mitek Systems, Inc.",$23.03,0,0.61%,"223,690","475,589",1.014B,93.24,
MGIC,Magic Software Enterprises Ltd.,20.44,1,0.0266,"24,030","32,901",1.006B,36.5,
TMOAY,TomTom N.V.,3.88,0,0.00%,"1,600","11,525",999.073M,N/A,
LIFX,"Life360, Inc.",6.1,0,0.00%,100,"14,301",1.01B,N/A,
NPACY,Quadient S.A.,1.92,0,0.00%,10,6,988.249M,26.22,
KARO,Karooooo Ltd.,31.5,0,0.0158,"8,691","12,126",974.96M,30.82,
APPEF,Appen Limited,7.89,0,0.00%,1,228,971.062M,33.29,
IIIV,"i3 Verticals, Inc.",28.52,-0.48,-1.66%,"52,305","96,325",918.578M,N/A,
HMBL,"HUMBL, Inc.",0.94,0,0.1072,5.659M,5.429M,915.726M,N/A,
RAAS,Cloopen Group Holding Limited,$5.57,0,-2.11%,7.182M,1.561M,915.541M,N/A,
INST,"Instructure Holdings, Inc.",$23.32,1,0.0355,"106,475","309,862",3.23B,N/A,
EBIX,"Ebix, Inc.",28.59,-0.49,-1.69%,"124,368","223,137",884.672M,10.76,
PXPHF,Pexip Holding ASA,8.12,0,0.00%,"5,000",130,880.614M,N/A,
DBD,"Diebold Nixdorf, Incorporated",10.66,-0.55,-4.91%,"321,943","521,892",835.252M,N/A,
RMNI,"Rimini Street, Inc.",10.02,0.12,0.0121,"408,746","453,860",859.355M,N/A,
AMSWA,"American Software, Inc.",25.69,0,0.0162,"70,310","160,671",854M,95.15,
PDFS,"PDF Solutions, Inc.",22.78,0,0.53%,"58,214","125,245",848.109M,N/A,
TCX,Tucows Inc.,76.8,1,0.0153,"12,023","28,706",819.487M,121.9,
ECOM,ChannelAdvisor Corporation,27.12,0.58,0.0219,"169,592","157,145",809.076M,42.38,
OSPN,OneSpan Inc.,19.48,0.39,0.0204,"452,995","221,651",783.302M,N/A,
CTLP,"Cantaloupe, Inc.",10.77,0.56,5.48%,"547,279","331,489",767.449M,N/A,
RLLMF,Real Matters Inc.,9.26,0,0.00%,10,"1,895",761.615M,21.99,
SLVFF,Silverlake Axis Ltd,0.273,0,0.00%,"5,000",440,730.521M,21,
ZENV,Zenvia Inc.,18.48,1,0.0347,"127,653","533,556",726.127M,N/A,
PKKFF,Peak Fintech Group Inc.,10.79,1,0.1592,"444,891","315,012",723.696M,N/A,
BTBT,"Bit Digital, Inc.",12.97,0,0.0197,29.392M,18.132M,713.231M,16.42,
VERI,"Veritone, Inc.",21.69,0,0.0065,"188,950","394,445",713.048M,N/A,
IMXI,"International Money Express, Inc.",18.14,0,-1.09%,"97,470","172,798",700.079M,17.13,
LVOX,"LiveVox Holding, Inc.",7.23,0,-1.63%,"190,067","348,440",684.163M,N/A,
TCYSF,Tecsys Inc.,44.55,10,27.17%,500,212,646.238M,114.24,
ABST,Absolute Software Corporation,12.5,0,0.56%,"46,739","88,343",618.911M,178.57,
KPLT,"Katapult Holdings, Inc.",6.38,1,13.12%,133.255M,6.449M,617.722M,N/A,
HCKT,"The Hackett Group, Inc.",20.24,0,1.15%,"90,162","110,510",603.409M,32.28,
SEEMF,Seeing Machines Limited,0.155,-0.01,-6.06%,"41,792","154,868",600.721M,N/A,
CISO,Cerberus Cyber Sentinel Corporation,5,0,0.00%,1,565,588.65M,N/A,
ALLT,Allot Ltd.,$16.16,0,0.0241,"117,731","158,146",583.043M,N/A,
DPLS,"DarkPulse, Inc.",0.1179,0,0.0077,18.75M,109.546M,568.284M,N/A,
SFBTF,SB Technology Corp.,27.25,1,5.70%,"1,000",28,557.649M,23.47,
QIWI,QIWI plc,8.78,-0.14,-1.57%,1.121M,"298,884",550.62M,4.01,
SPRT,"Support.com, Inc.",21.95,0,-0.23%,20.836M,15.749M,532.022M,N/A,
